id,order,prime,masc,stim,cond
11,2,0,0,faces\Slide11.bmp,1
11,3,0,1,faces\Slide9.bmp,1
11,4,0,0,faces\Slide5.bmp,1
11,5,0,1,faces\Slide1.bmp,1
11,6,0,1,faces\Slide18.bmp,1
11,7,0,0,faces\Slide14.bmp,1
11,8,0,0,faces\Slide10.bmp,1
11,9,0,0,faces\Slide16.bmp,1
11,10,0,0,faces\Slide13.bmp,1
11,11,0,0,faces\Slide12.bmp,1
11,12,0,1,faces\Slide3.bmp,1
11,13,0,1,faces\Slide8.bmp,1
11,14,0,0,faces\Slide6.bmp,1
11,15,0,1,faces\Slide7.bmp,1
11,16,0,1,faces\Slide17.bmp,1
11,17,0,1,faces\Slide15.bmp,1
11,18,0,1,faces\Slide4.bmp,1
11,19,0,1,faces\Slide19.bmp,1
11,20,0,0,faces\Slide2.bmp,1
11,21,1,1,faces\Slide20.bmp,1
11,22,1,0,faces\Slide12.bmp,1
11,23,1,1,faces\Slide10.bmp,1
11,24,1,0,faces\Slide8.bmp,1
11,25,1,1,faces\Slide5.bmp,1
11,26,1,0,faces\Slide18.bmp,1
11,27,1,0,faces\Slide11.bmp,1
11,28,1,1,faces\Slide7.bmp,1
11,29,1,1,faces\Slide6.bmp,1
11,30,1,1,faces\Slide15.bmp,1
11,31,1,1,faces\Slide14.bmp,1
11,32,1,0,faces\Slide16.bmp,1
11,33,1,1,faces\Slide17.bmp,1
11,34,1,0,faces\Slide13.bmp,1
11,35,1,0,faces\Slide3.bmp,1
11,36,1,0,faces\Slide1.bmp,1
11,37,1,0,faces\Slide2.bmp,1
11,38,1,0,faces\Slide4.bmp,1
11,39,1,1,faces\Slide19.bmp,1
11,40,1,1,faces\Slide9.bmp,1
12,2,0,0,faces\Slide3.bmp,2
12,3,0,0,faces\Slide6.bmp,2
12,4,0,0,faces\Slide11.bmp,2
12,5,0,1,faces\Slide4.bmp,2
12,6,0,1,faces\Slide19.bmp,2
12,7,0,1,faces\Slide2.bmp,2
12,8,0,0,faces\Slide18.bmp,2
12,9,0,0,faces\Slide8.bmp,2
12,10,0,1,faces\Slide17.bmp,2
12,11,0,0,faces\Slide16.bmp,2
12,12,0,0,faces\Slide7.bmp,2
12,13,0,0,faces\Slide1.bmp,2
12,14,0,0,faces\Slide12.bmp,2
12,15,0,1,faces\Slide10.bmp,2
12,16,0,0,faces\Slide9.bmp,2
12,17,0,0,faces\Slide14.bmp,2
12,18,0,1,faces\Slide15.bmp,2
12,19,0,1,faces\Slide5.bmp,2
12,20,0,0,faces\Slide13.bmp,2
12,21,1,0,faces\Slide15.bmp,2
12,22,1,0,faces\Slide3.bmp,2
12,23,1,0,faces\Slide20.bmp,2
12,24,1,0,faces\Slide2.bmp,2
12,25,1,0,faces\Slide12.bmp,2
12,26,1,1,faces\Slide10.bmp,2
12,27,1,0,faces\Slide9.bmp,2
12,28,1,1,faces\Slide8.bmp,2
12,29,1,0,faces\Slide13.bmp,2
12,30,1,0,faces\Slide16.bmp,2
12,31,1,0,faces\Slide17.bmp,2
12,32,1,1,faces\Slide7.bmp,2
12,33,1,1,faces\Slide14.bmp,2
12,34,1,0,faces\Slide6.bmp,2
12,35,1,1,faces\Slide1.bmp,2
12,36,1,0,faces\Slide18.bmp,2
12,37,1,0,faces\Slide11.bmp,2
12,38,1,0,faces\Slide5.bmp,2
12,39,1,0,faces\Slide19.bmp,2
12,40,1,1,faces\Slide4.bmp,2
13,2,0,1,faces\Slide14.bmp,3
13,3,0,1,faces\Slide12.bmp,3
13,4,0,1,faces\Slide3.bmp,3
13,5,0,0,faces\Slide5.bmp,3
13,6,0,0,faces\Slide17.bmp,3
13,7,0,1,faces\Slide9.bmp,3
13,8,0,1,faces\Slide18.bmp,3
13,9,0,0,faces\Slide1.bmp,3
13,10,0,0,faces\Slide6.bmp,3
13,11,0,0,faces\Slide13.bmp,3
13,12,0,0,faces\Slide4.bmp,3
