Subj,Cond,Block,Trial,Order,Resp,Name,Stim,RT,load,maspref,vmaspref,nfcp,nfcn,fii,icp,icn,nfc,ic
7,1,1,62,5,8,8,Slide28.bmp,12576,1,8,0,7,8,22,15,13,-1,2
,,,,,,,,,,,,,,,,,,
8,1,1,66,41,3,3,Slide32.bmp,475,4,0,7,9,7,18,16,15,2,1
,,,,,,,,,,,,,,,,,,
8,1,1,63,38,3,3,Slide29.bmp,2274,4,7,0,9,7,18,16,15,2,1
,,,,,,,,,,,,,,,,,,
8,1,1,36,37,6,6,Slide24.bmp,2919,4,6,0,9,7,18,16,15,2,1
,,,,,,,,,,,,,,,,,,
8,1,1,53,33,8,8,Slide32.bmp,690,6,0,8,9,7,18,16,15,2,1
,,,,,,,,,,,,,,,,,,
8,1,1,23,30,5,5,Slide22.bmp,2385,6,5,0,9,7,18,16,15,2,1
,,,,,,,,,,,,,,,,,,
8,1,1,62,29,9,9,Slide28.bmp,1942,6,9,0,9,7,18,16,15,2,1
,,,,,,,,,,,,,,,,,,
8,1,1,40,25,1,1,Slide32.bmp,385,1,0,9,9,7,18,16,15,2,1
,,,,,,,,,,,,,,,,,,
8,1,1,50,22,5,5,Slide27.bmp,5867,1,5,0,9,7,18,16,15,2,1
,,,,,,,,,,,,,,,,,,
8,1,1,37,21,1,1,Slide25.bmp,3525,1,9,0,9,7,18,16,15,2,1
,,,,,,,,,,,,,,,,,,
8,1,1,27,17,7,7,Slide32.bmp,684,2,0,7,9,7,18,16,15,2,1
,,,,,,,,,,,,,,,,,,
8,1,1,11,14,8,8,Slide21.bmp,4591,2,2,0,9,7,18,16,15,2,1
,,,,,,,,,,,,,,,,,,
8,1,1,49,13,2,2,Slide26.bmp,3421,2,2,0,9,7,18,16,15,2,1
,,,,,,,,,,,,,,,,,,
9,1,1,66,41,2,2,Slide32.bmp,601,1,0,8,15,2,25,13,20,13,-7
,,,,,,,,,,,,,,,,,,
9,1,1,63,38,1,1,Slide29.bmp,7238,1,9,0,15,2,25,13,20,13,-7
,,,,,,,,,,,,,,,,,,
9,1,1,23,37,9,9,Slide22.bmp,2523,1,9,0,15,2,25,13,20,13,-7
,,,,,,,,,,,,,,,,,,
9,1,1,53,33,9,9,Slide32.bmp,1553,4,0,9,15,2,25,13,20,13,-7
,,,,,,,,,,,,,,,,,,
9,1,1,50,30,1,1,Slide27.bmp,1566,4,9,0,15,2,25,13,20,13,-7
,,,,,,,,,,,,,,,,,,
9,1,1,36,29,9,9,Slide24.bmp,4161,4,9,0,15,2,25,13,20,13,-7
,,,,,,,,,,,,,,,,,,
9,1,1,27,17,5,5,Slide32.bmp,2596,6,0,5,15,2,25,13,20,13,-7
,,,,,,,,,,,,,,,,,,
9,1,1,11,14,1,1,Slide21.bmp,7381,6,9,0,15,2,25,13,20,13,-7
,,,,,,,,,,,,,,,,,,
9,1,1,62,13,9,9,Slide28.bmp,2555,6,9,0,15,2,25,13,20,13,-7
,,,,,,,,,,,,,,,,,,
9,1,1,14,9,2,2,Slide32.bmp,6751,2,0,8,15,2,25,13,20,13,-7
,,,,,,,,,,,,,,,,,,
9,1,1,49,6,9,9,Slide26.bmp,3912,2,9,0,15,2,25,13,20,13,-7
,,,,,,,,,,,,,,,,,,
9,1,1,37,5,1,1,Slide25.bmp,6221,2,9,0,15,2,25,13,20,13,-7
,,,,,,,,,,,,,,,,,,
10,1,1,53,33,9,9,Slide32.bmp,2521,4,0,9,7,8,23,15,13,-1,2
,,,,,,,,,,,,,,,,,,
10,1,1,23,30,5,5,Slide22.bmp,4753,4,5,0,7,8,23,15,13,-1,2
,,,,,,,,,,,,,,,,,,
10,1,1,24,29,2,2,Slide23.bmp,3538,4,8,0,7,8,23,15,13,-1,2
,,,,,,,,,,,,,,,,,,
10,1,1,40,25,5,5,Slide32.bmp,2909,1,0,5,7,8,23,15,13,-1,2
,,,,,,,,,,,,,,,,,,
10,1,1,36,22,7,7,Slide24.bmp,3816,1,7,0,7,8,23,15,13,-1,2
,,,,,,,,,,,,,,,,,,
10,1,1,49,21,6,6,Slide26.bmp,3599,1,6,0,7,8,23,15,13,-1,2
,,,,,,,,,,,,,,,,,,
10,1,1,27,17,1,1,Slide32.bmp,1266,6,0,1,7,8,23,15,13,-1,2
,,,,,,,,,,,,,,,,,,
10,1,1,11,14,2,2,Slide21.bmp,3516,6,8,0,7,8,23,15,13,-1,2
,,,,,,,,,,,,,,,,,,
10,1,1,37,13,2,2,Slide25.bmp,4299,6,8,0,7,8,23,15,13,-1,2
,,,,,,,,,,,,,,,,,,
10,1,1,14,9,5,5,Slide32.bmp,3549,2,0,5,7,8,23,15,13,-1,2
,,,,,,,,,,,,,,,,,,
10,1,1,50,6,3,3,Slide27.bmp,5616,2,7,0,7,8,23,15,13,-1,2
,,,,,,,,,,,,,,,,,,
10,1,1,10,5,5,5,Slide20.bmp,7036,2,5,0,7,8,23,15,13,-1,2
,,,,,,,,,,,,,,,,,,
11,1,1,66,41,1,1,Slide32.bmp,964,4,0,9,9,6,16,17,15,3,2
,,,,,,,,,,,,,,,,,,
11,1,1,63,38,1,1,Slide29.bmp,2088,4,9,0,9,6,16,17,15,3,2
,,,,,,,,,,,,,,,,,,
11,1,1,23,37,3,3,Slide22.bmp,3025,4,3,0,9,6,16,17,15,3,2
,,,,,,,,,,,,,,,,,,
11,1,1,53,33,2,2,Slide32.bmp,294,1,0,2,9,6,16,17,15,3,2
,,,,,,,,,,,,,,,,,,
11,1,1,24,30,5,5,Slide23.bmp,3917,1,5,0,9,6,16,17,15,3,2
,,,,,,,,,,,,,,,,,,
11,1,1,11,29,4,4,Slide21.bmp,5145,1,6,0,9,6,16,17,15,3,2
,,,,,,,,,,,,,,,,,,
11,1,1,40,25,2,2,Slide32.bmp,926,2,0,8,9,6,16,17,15,3,2
,,,,,,,,,,,,,,,,,,
11,1,1,50,22,3,3,Slide27.bmp,3074,2,7,0,9,6,16,17,15,3,2
,,,,,,,,,,,,,,,,,,
11,1,1,49,21,5,5,Slide26.bmp,2178,2,5,0,9,6,16,17,15,3,2
,,,,,,,,,,,,,,,,,,
12,1,1,40,25,6,6,Slide32.bmp,3392,1,0,4,6,7,18,19,11,-1,8
,,,,,,,,,,,,,,,,,,
12,1,1,10,22,3,3,Slide20.bmp,10483,1,3,0,6,7,18,19,11,-1,8
,,,,,,,,,,,,,,,,,,
12,1,1,37,21,5,5,Slide25.bmp,5470,1,5,0,6,7,18,19,11,-1,8
,,,,,,,,,,,,,,,,,,
12,1,1,27,17,4,4,Slide32.bmp,2701,2,0,4,6,7,18,19,11,-1,8
,,,,,,,,,,,,,,,,,,
12,1,1,23,14,3,3,Slide22.bmp,5801,2,3,0,6,7,18,19,11,-1,8
,,,,,,,,,,,,,,,,,,
12,1,1,62,13,6,6,Slide28.bmp,12344,2,6,0,6,7,18,19,11,-1,8
,,,,,,,,,,,,,,,,,,
13,1,1,66,41,5,5,Slide32.bmp,1006,2,0,5,8,6,19,8,23,2,-15
,,,,,,,,,,,,,,,,,,
13,1,1,63,38,4,4,Slide29.bmp,2456,2,6,0,8,6,19,8,23,2,-15
,,,,,,,,,,,,,,,,,,
13,1,1,23,37,5,5,Slide22.bmp,2062,2,5,0,8,6,19,8,23,2,-15
,,,,,,,,,,,,,,,,,,
13,1,1,53,33,5,5,Slide32.bmp,1195,4,0,5,8,6,19,8,23,2,-15
,,,,,,,,,,,,,,,,,,
13,1,1,49,30,7,7,Slide26.bmp,4017,4,7,0,8,6,19,8,23,2,-15
,,,,,,,,,,,,,,,,,,
13,1,1,10,29,3,3,Slide20.bmp,5100,4,3,0,8,6,19,8,23,2,-15
,,,,,,,,,,,,,,,,,,
13,1,1,27,17,7,7,Slide32.bmp,1029,1,0,7,8,6,19,8,23,2,-15
,,,,,,,,,,,,,,,,,,
13,1,1,50,14,2,2,Slide27.bmp,4837,1,8,0,8,6,19,8,23,2,-15
,,,,,,,,,,,,,,,,,,
13,1,1,11,13,5,5,Slide21.bmp,3219,1,5,0,8,6,19,8,23,2,-15
,,,,,,,,,,,,,,,,,,
15,1,1,66,41,3,3,Slide32.bmp,701,6,0,7,8,5,23,18,16,3,2
,,,,,,,,,,,,,,,,,,
15,1,1,23,38,4,4,Slide22.bmp,4595,6,4,0,8,5,23,18,16,3,2
,,,,,,,,,,,,,,,,,,
15,1,1,50,37,6,6,Slide27.bmp,3949,6,4,0,8,5,23,18,16,3,2
,,,,,,,,,,,,,,,,,,
15,1,1,53,33,8,8,Slide32.bmp,785,7,0,8,8,5,23,18,16,3,2
,,,,,,,,,,,,,,,,,,
15,1,1,62,30,6,6,Slide28.bmp,2550,7,6,0,8,5,23,18,16,3,2
,,,,,,,,,,,,,,,,,,
15,1,1,63,29,3,3,Slide29.bmp,3086,7,7,0,8,5,23,18,16,3,2
,,,,,,,,,,,,,,,,,,
15,1,1,40,25,5,5,Slide32.bmp,703,4,0,5,8,5,23,18,16,3,2
,,,,,,,,,,,,,,,,,,
15,1,1,24,22,6,6,Slide23.bmp,4410,4,4,0,8,5,23,18,16,3,2
,,,,,,,,,,,,,,,,,,
15,1,1,49,21,6,6,Slide26.bmp,3141,4,6,0,8,5,23,18,16,3,2
,,,,,,,,,,,,,,,,,,
15,1,1,27,17,6,6,Slide32.bmp,2245,2,0,6,8,5,23,18,16,3,2
,,,,,,,,,,,,,,,,,,
15,1,1,37,14,5,5,Slide25.bmp,4859,2,5,0,8,5,23,18,16,3,2
,,,,,,,,,,,,,,,,,,
15,1,1,10,13,3,3,Slide20.bmp,4350,2,3,0,8,5,23,18,16,3,2
,,,,,,,,,,,,,,,,,,
15,1,1,14,9,2,2,Slide32.bmp,2597,1,0,8,8,5,23,18,16,3,2
,,,,,,,,,,,,,,,,,,
15,1,1,36,6,8,8,Slide24.bmp,4690,1,8,0,8,5,23,18,16,3,2
,,,,,,,,,,,,,,,,,,
15,1,1,11,5,7,7,Slide21.bmp,8556,1,3,0,8,5,23,18,16,3,2
,,,,,,,,,,,,,,,,,,
16,1,1,66,41,6,6,Slide32.bmp,1561,1,0,4,7,9,17,17,16,-2,1
,,,,,,,,,,,,,,,,,,
16,1,1,36,38,7,7,Slide24.bmp,3471,1,7,0,7,9,17,17,16,-2,1
,,,,,,,,,,,,,,,,,,
16,1,1,62,37,7,7,Slide28.bmp,5381,1,7,0,7,9,17,17,16,-2,1
,,,,,,,,,,,,,,,,,,
16,1,1,53,33,7,7,Slide32.bmp,4042,2,0,7,7,9,17,17,16,-2,1
,,,,,,,,,,,,,,,,,,
16,1,1,10,30,3,3,Slide20.bmp,4290,2,3,0,7,9,17,17,16,-2,1
,,,,,,,,,,,,,,,,,,
16,1,1,37,29,4,4,Slide25.bmp,7460,2,6,0,7,9,17,17,16,-2,1
,,,,,,,,,,,,,,,,,,
16,1,1,27,17,4,4,Slide32.bmp,1913,4,0,4,7,9,17,17,16,-2,1
,,,,,,,,,,,,,,,,,,
16,1,1,50,14,8,8,Slide27.bmp,5129,4,2,0,7,9,17,17,16,-2,1
,,,,,,,,,,,,,,,,,,
16,1,1,49,13,6,6,Slide26.bmp,6977,4,6,0,7,9,17,17,16,-2,1
,,,,,,,,,,,,,,,,,,
17,1,1,66,41,1,1,Slide32.bmp,1276,2,0,9,5,6,17,12,17,-1,-5
,,,,,,,,,,,,,,,,,,
17,1,1,36,38,6,6,Slide24.bmp,3177,2,6,0,5,6,17,12,17,-1,-5
,,,,,,,,,,,,,,,,,,
17,1,1,49,37,8,8,Slide26.bmp,1930,2,8,0,5,6,17,12,17,-1,-5
,,,,,,,,,,,,,,,,,,
17,1,1,40,25,3,3,Slide32.bmp,3865,4,0,7,5,6,17,12,17,-1,-5
,,,,,,,,,,,,,,,,,,
17,1,1,11,22,4,4,Slide21.bmp,6894,4,6,0,5,6,17,12,17,-1,-5
,,,,,,,,,,,,,,,,,,
17,1,1,23,21,4,4,Slide22.bmp,5967,4,4,0,5,6,17,12,17,-1,-5
,,,,,,,,,,,,,,,,,,
17,1,1,27,17,8,8,Slide32.bmp,3743,6,0,8,5,6,17,12,17,-1,-5
,,,,,,,,,,,,,,,,,,
17,1,1,62,14,8,8,Slide28.bmp,5321,6,8,0,5,6,17,12,17,-1,-5
,,,,,,,,,,,,,,,,,,
17,1,1,63,13,3,3,Slide29.bmp,4964,6,7,0,5,6,17,12,17,-1,-5
,,,,,,,,,,,,,,,,,,
17,1,1,14,9,2,2,Slide32.bmp,4216,1,0,8,5,6,17,12,17,-1,-5
,,,,,,,,,,,,,,,,,,
17,1,1,50,6,4,4,Slide27.bmp,4832,1,6,0,5,6,17,12,17,-1,-5
,,,,,,,,,,,,,,,,,,
17,1,1,24,5,4,4,Slide23.bmp,10592,1,6,0,5,6,17,12,17,-1,-5
,,,,,,,,,,,,,,,,,,
18,1,1,66,41,3,3,Slide32.bmp,1225,1,0,7,4,9,18,13,11,-5,2
,,,,,,,,,,,,,,,,,,
18,1,1,23,38,5,5,Slide22.bmp,6370,1,5,0,4,9,18,13,11,-5,2
,,,,,,,,,,,,,,,,,,
18,1,1,36,37,6,6,Slide24.bmp,7195,1,6,0,4,9,18,13,11,-5,2
,,,,,,,,,,,,,,,,,,
18,1,1,40,25,4,4,Slide32.bmp,2717,6,0,6,4,9,18,13,11,-5,2
,,,,,,,,,,,,,,,,,,
18,1,1,50,22,3,3,Slide27.bmp,3799,6,7,0,4,9,18,13,11,-5,2
,,,,,,,,,,,,,,,,,,
18,1,1,37,21,1,1,Slide25.bmp,2749,6,9,0,4,9,18,13,11,-5,2
,,,,,,,,,,,,,,,,,,
18,1,1,27,17,7,7,Slide32.bmp,1104,4,0,7,4,9,18,13,11,-5,2
,,,,,,,,,,,,,,,,,,
18,1,1,62,14,9,9,Slide28.bmp,4730,4,9,0,4,9,18,13,11,-5,2
,,,,,,,,,,,,,,,,,,
18,1,1,10,13,2,2,Slide20.bmp,6044,4,2,0,4,9,18,13,11,-5,2
,,,,,,,,,,,,,,,,,,
18,1,1,14,9,2,2,Slide32.bmp,2991,2,0,8,4,9,18,13,11,-5,2
,,,,,,,,,,,,,,,,,,
18,1,1,63,6,2,2,Slide29.bmp,7058,2,8,0,4,9,18,13,11,-5,2
,,,,,,,,,,,,,,,,,,
18,1,1,49,5,8,8,Slide26.bmp,17001,2,8,0,4,9,18,13,11,-5,2
,,,,,,,,,,,,,,,,,,
19,1,1,40,25,3,3,Slide32.bmp,2303,4,0,7,8,7,18,12,21,1,-9
,,,,,,,,,,,,,,,,,,
19,1,1,63,22,8,8,Slide29.bmp,7063,4,2,0,8,7,18,12,21,1,-9
,,,,,,,,,,,,,,,,,,
19,1,1,49,21,8,8,Slide26.bmp,3253,4,8,0,8,7,18,12,21,1,-9
,,,,,,,,,,,,,,,,,,
19,1,1,27,17,4,4,Slide32.bmp,4489,2,0,4,8,7,18,12,21,1,-9
,,,,,,,,,,,,,,,,,,
19,1,1,62,14,8,8,Slide28.bmp,3421,2,8,0,8,7,18,12,21,1,-9
,,,,,,,,,,,,,,,,,,
19,1,1,36,13,8,8,Slide24.bmp,4801,2,8,0,8,7,18,12,21,1,-9
,,,,,,,,,,,,,,,,,,
19,1,1,14,9,6,6,Slide32.bmp,8438,1,0,4,8,7,18,12,21,1,-9
,,,,,,,,,,,,,,,,,,
19,1,1,10,6,7,7,Slide20.bmp,5297,1,7,0,8,7,18,12,21,1,-9
,,,,,,,,,,,,,,,,,,
19,1,1,24,5,7,7,Slide23.bmp,8384,1,3,0,8,7,18,12,21,1,-9
,,,,,,,,,,,,,,,,,,
20,1,1,53,33,5,5,Slide32.bmp,1270,1,0,5,9,7,13,18,15,2,3
,,,,,,,,,,,,,,,,,,
20,1,1,49,30,4,4,Slide26.bmp,2985,1,4,0,9,7,13,18,15,2,3
,,,,,,,,,,,,,,,,,,
20,1,1,62,29,5,5,Slide28.bmp,2271,1,5,0,9,7,13,18,15,2,3
,,,,,,,,,,,,,,,,,,
20,1,1,27,17,3,3,Slide32.bmp,2471,6,0,3,9,7,13,18,15,2,3
,,,,,,,,,,,,,,,,,,
20,1,1,10,14,2,2,Slide20.bmp,2589,6,2,0,9,7,13,18,15,2,3
,,,,,,,,,,,,,,,,,,
20,1,1,37,13,1,1,Slide25.bmp,4801,6,9,0,9,7,13,18,15,2,3
,,,,,,,,,,,,,,,,,,
20,1,1,14,9,8,8,Slide32.bmp,4227,2,0,2,9,7,13,18,15,2,3
,,,,,,,,,,,,,,,,,,
20,1,1,36,6,5,5,Slide24.bmp,5049,2,5,0,9,7,13,18,15,2,3
,,,,,,,,,,,,,,,,,,
20,1,1,11,5,3,3,Slide21.bmp,11357,2,7,0,9,7,13,18,15,2,3
,,,,,,,,,,,,,,,,,,
21,1,1,66,41,2,2,Slide32.bmp,1078,6,0,8,7,6,20,13,16,1,-3
,,,,,,,,,,,,,,,,,,
21,1,1,10,38,2,2,Slide20.bmp,3955,6,2,0,7,6,20,13,16,1,-3
,,,,,,,,,,,,,,,,,,
21,1,1,37,37,3,3,Slide25.bmp,8544,6,7,0,7,6,20,13,16,1,-3
,,,,,,,,,,,,,,,,,,
21,1,1,53,33,9,9,Slide32.bmp,1513,4,0,9,7,6,20,13,16,1,-3
,,,,,,,,,,,,,,,,,,
21,1,1,24,30,2,2,Slide23.bmp,1751,4,8,0,7,6,20,13,16,1,-3
,,,,,,,,,,,,,,,,,,
21,1,1,50,29,2,2,Slide27.bmp,3988,4,8,0,7,6,20,13,16,1,-3
,,,,,,,,,,,,,,,,,,
21,1,1,40,25,2,2,Slide32.bmp,1102,1,0,8,7,6,20,13,16,1,-3
,,,,,,,,,,,,,,,,,,
21,1,1,49,22,8,8,Slide26.bmp,2604,1,8,0,7,6,20,13,16,1,-3
,,,,,,,,,,,,,,,,,,
21,1,1,11,21,2,2,Slide21.bmp,2515,1,8,0,7,6,20,13,16,1,-3
